chip,layer,input_pad,input_signal,output_pads,actual_R_ohm,total_len_um,group_parallel_R_ohm
1,1,T12,VDD08DLL<7>,L12;L13;L19,500.00,4625,253.968
1,1,T14,VDD08DLL<6>,L12;L13;L19,1000.00,9251,253.968
1,1,B12,VDD08DLL<5>,L12;L13;L19,2000.00,18501,253.968
1,1,T38,VDD08DLL<0>,L12;L13;L19,4000.00,37003,253.968
1,1,B17,VDD08DLL<4>,L12;L13;L19,8000.00,74006,253.968
1,1,T43,VDD08DLL<1>,L12;L13;L19,16000.00,148011,253.968
1,2,T42,VDD18PLL<1>,R11;R14,500.00,4625,253.968
1,2,T39,VDD18PLL<0>,R11;R14,1000.00,9251,253.968
1,2,B42,VDD18PLL<3>,R11;R14,2000.00,18501,253.968
1,2,B39,VDD18PLL<2>,R11;R14,4000.00,37003,253.968
1,2,T16,VDD18PLL<6>,R11;R14,8000.00,74006,253.968
1,2,T13,VDD18PLL<7>,R11;R14,16000.00,148011,253.968
2,1,B38,VDD08DLL<2>,L12;L13;L19,500.00,4625,333.333
2,1,B43,VDD08DLL<3>,L12;L13;L19,1000.00,9251,333.333
2,2,B16,VDD18PLL<4>,R11;R14,500.00,4625,333.333
2,2,B13,VDD18PLL<5>,R11;R14,1000.00,9251,333.333
3,1,T37,VDD08PA,R17,500.00,4625,253.968
3,1,T34,VDD08PA,R17,1000.00,9251,253.968
3,1,B37,VDD08PA,R17,2000.00,18501,253.968
3,1,T28,VDD08PA,R17,4000.00,37003,253.968
3,1,B34,VDD08PA,R17,8000.00,74006,253.968
3,1,B28,VDD08PA,R17,16000.00,148011,253.968
3,2,B35,VDD18_BG<0>,R20,500.00,4625,333.333
3,2,B20,VDD18_BG<1>,R20,1000.00,9251,333.333
4,1,T21,VDD08PA,R17,500.00,4625,253.968
4,1,T18,VDD08PA,R17,1000.00,9251,253.968
4,1,B21,VDD08PA,R17,2000.00,18501,253.968
4,1,B18,VDD08PA,R17,4000.00,37003,253.968
4,1,T9,VDD08PA,R17,8000.00,74006,253.968
4,1,L9,VDD08PA,R17,16000.00,148011,253.968
4,2,B31,VDD08TIA,R26,500.00,4625,266.667
4,2,T31,VDD08TIA,R26,1000.00,9251,266.667
4,2,B24,VDD08TIA,R26,2000.00,18501,266.667
4,2,T24,VDD08TIA,R26,4000.00,37003,266.667
5,1,L8,VDD08PA,R17,500.00,4625,333.333
5,1,L7,VDD08PA,R17,1000.00,9251,333.333
5,2,T64,VDD08,T50,500.00,4625,253.968
5,2,T29,VDD08,T50,1000.00,9251,253.968
5,2,T26,VDD08,T50,2000.00,18501,253.968
5,2,R13,VDD08,T50,4000.00,37003,253.968
5,2,L10,VDD08,T50,8000.00,74006,253.968
5,2,B29,VDD08,T50,16000.00,148011,253.968
6,1,B26,VDD08,T50,500.00,4625,500.000
6,2,B27,VDD08D,B23,500.00,4625,253.968
6,2,L33,VDD08D,B23,1000.00,9251,253.968
6,2,L23,VDD08D,B23,2000.00,18501,253.968
6,2,L22,VDD08D,B23,4000.00,37003,253.968
6,2,L18,VDD08D,B23,8000.00,74006,253.968
6,2,L17,VDD08D,B23,16000.00,148011,253.968
7,1,L16,VDD08D,B23,500.00,4625,253.968
7,1,T27,VDD08D,B23,1000.00,9251,253.968
7,1,T36,VDD08D,B23,2000.00,18501,253.968
7,1,T10,VDD08D,B23,4000.00,37003,253.968
7,1,T3,VDD08D,B23,8000.00,74006,253.968
7,1,T45,VDD08D,B23,16000.00,148011,253.968
7,2,B46,VDD12LED,B32,500.00,4625,253.968
7,2,B52,VDD12LED,B32,1000.00,9251,253.968
7,2,B53,VDD12LED,B32,2000.00,18501,253.968
7,2,B58,VDD12LED,B32,4000.00,37003,253.968
7,2,B59,VDD12LED,B32,8000.00,74006,253.968
7,2,R37,VDD12LED,B32,16000.00,148011,253.968
8,1,T54,VDD08D,B23,500.00,4625,266.667
8,1,T63,VDD08D,B23,1000.00,9251,266.667
8,1,R16,VDD08D,B23,2000.00,18501,266.667
8,1,T76,VDD08D,B23,4000.00,37003,266.667
8,2,R31,VDD12LED,B32,500.00,4625,253.968
8,2,T46,VDD12LED,B32,1000.00,9251,253.968
8,2,R28,VDD12LED,B32,2000.00,18501,253.968
8,2,T52,VDD12LED,B32,4000.00,37003,253.968
8,2,R22,VDD12LED,B32,8000.00,74006,253.968
8,2,T58,VDD12LED,B32,16000.00,148011,253.968
